Category,Query,nct_id,title,status,phase,brief_summary,conditions
cell senescence,senescence aging,NCT06121778,Home Support for Elderly: Evaluation of Intra- Extrinsic Determinants Which Maximize This Possibility,NOT_YET_RECRUITING,,"The French National Institute of Statistics and Economic Studies (INSEE) projects that the number of people aged 75 and over will increase in France from 5.2 million in 2007 to 11.6 million in 2060 (i.e., a 123% increase) and that of those aged 85 and over 1.3 to 5.4 million (315% increase). The marked increase in this segment of the population poses numerous practical and ethical questions regarding adaptation to our society, particularly in terms of medico-social offers. More specifically, surveys carried out among French people show an important paradox: almost 90% of those questioned want to be able to age in their home, but at the same time only a small part (estimated at 6%) of the French homes is adapted to the aging of its population. This inconsistency places the question of housing at the center of current public policies.

If current societal concerns raise the question of need to find alternatives to entering an institution, a research work addressing all dimensions impacted by life at home for the elderly (quality of life, maintenance of functional, decision-making skills, nutritional status, etc.) jointly in the same population area and at different times (i.e., until leaving home for some people) remains to be carried out to allow us to better understand the nature and functioning of these factors, and thus propose integrated models. Indeed, too often these questions are studied separately on different populations and at different stages different from the life of the elderly person. Unfortunately, this does not allow us to clearly perceive the importance specificity takes on each factor, nor whether the proposals made really meet the objectives assigned to them. These questions relate in particular to: what aspects related to the person or their environment they contribute, when the person wishes, to be able to stay and live in your home? Since the departure of domicile would be postponed, does this mean that it is carried out due to the state health of the elderly worse? Understanding the relationship between the elderly and their housing will make it possible to draw up an inventory of the premises necessary for construction of the steps which will follow and which will be carried out by the different partners, in particular the public authorities, associations, social landlords (e.g., implementation of new clinical studies, health promotion, policy support, urban and housing planning, etc.). As part of an action-research program (concrete actions and transformative in the field), and relying on the approaches already underway, the main objective of this project will be to determine in elderly people living at home independent what are the main intrinsic factors and extrinsic elements that allow/promote this way of life.","Aging, Functional Disturbance, Home"
cell senescence,senescence aging,NCT03468660,Auditory Temporal Processes in Aging,COMPLETED,,"Older people experience great difficulty understanding speech, especially accented English, and this problem is expected to increase with the influx of immigrants who provide services to the elderly population. The research examines the underlying factors that contribute to older listeners' difficulty understanding accented speech, including those associated with age-related hearing loss, changes in processing in auditory pathways in the brain, and general cognitive decline. The investigation also evaluates the efficacy of training strategies to improve understanding of accented English by older people. Outcomes of this research are expected to improve communication between senior citizens and those with whom they interact daily, and thereby improve quality of life for the older segment of the Nation's population.","Auditory Perceptual Disorders, Aging Problems"
cell senescence,senescence aging,NCT04301713,Multifactorial Study of the Relationship Between the Conditions of Life and the Incidence of Risk of Falling,UNKNOWN,,"HYPOTHESIS:

The incidence of risk of falls is related to the living conditions of elderly people in the community.

OBJECTIVES:

• To study the relationship between living conditions and the incidence of risk of falls in older adults in the community.

SPECIFIC OBJECTIVES:

* Describe the socio-characteristics of the elderly group in the community.
* Identify the pathologies or health problems that they present.
* Evaluate their functional and dependency degree.
* Evaluate the risk of falls that each person may have.
* Identify the risk factors involved in falls.
* Analyze the prevalence of falls that they present.

STUDY DESIGN:

Descriptive and analytical-statistical study. Administration of the Barthel Index. Administration of the Downton fall risk assessment scale and the Falls Efficacy Scale-International (FES-I).

Administration of the Tinetti assessment tool and the Short Physical Performance Battery (SPPB).

Evaluation of socio-demographic characteristics, clinical and functional assessment, consumption of drugs, as well as characteristics of the falls of each elderly person in the community.

The protocol has been authorized by the Ethics Committee of the Salamanca health area to make the project possible.","Nursing Caries, Old Age; Debility, Aging Disorder"
cell senescence,senescence aging,NCT05543980,Leg Heat Therapy in Elderly Individuals,COMPLETED,PHASE1,"This pilot randomized, sham-controlled trial aimed to establish the feasibility and safety of home-based leg HT in community-dwelling older adults and inform the design of a future, larger study. Participants were randomized to either an HT or a sham group and were asked to apply the treatment daily for 90 min over 12 consecutive weeks. The primary outcomes were compliance with the HT regimen, measured by a hidden timer, completion rates, and device safety. The secondary goals were to examine the effects of leg HT on 6-min walk distance, sit-to-stand performance, blood pressure, quality of life, and the morphology and strength of the calf muscles, as assessed using combined T1-weighted and mDixon magnetic resonance imaging (MRI). Building upon previous findings in young individuals, preclinical models of PAD, and older individuals with PAD, we hypothesized that older adults treated with leg HT for 12 weeks would display improved walking performance, increased calf strength, and reduced intramuscular fat when compared to sham-treated individuals.","Aging, Muscle Weakness"
cell senescence,senescence aging,NCT03548168,Innovative Imaging of Cerebrum and Muscle (iCAM) Repeatability Study,COMPLETED,,"Impairments in postural control are linked to low back pain and reductions in physical function in the elderly. Unfortunately, many techniques to assess the neural control of movement are not feasible, or directly applicable, to the trunk musculature. In a prior pilot study, we developed and optimized innovative approaches to study these muscles. We will continue to develop a reliable, fMRI protocol that investigates the activity of the motor cortical networks of selected trunk muscles (specific aim 1). We will also continue the development a reliable muscle functional MRI (mfMRI) protocol to assess the spatial muscle activation patterns of the deeper lumbopelvic muscles (specific aim 2). We will examine the test-retest reliability of these approaches in four distinct target populations: healthy adults, adults with chronic low back pain, older adults, and older adults with high levels of trunk muscle control (i.e., individuals with expertise in Pilates). By enrolling groups of various levels of trunk muscle control, pathology state and age, we will be able to not only determine the intra-individual reliability, but also the inter-individual reliability as we expect the variability of the measures to be influenced by physical ability, pain state and age. Lastly, in an exploratory aim we will examine the association of our novel neurophysiological measures from Aim 1 and 2 with classic biomechanical and muscle function measures (e.g., trunk extensor strength and trunk extensor steadiness). Successfully developing reliable techniques of this nature will result in new and improved research tools for conducting rigorous studies of therapeutic approaches, such as spinal manipulation and yoga, within the context of trunk muscle control and function.","Low Back Pain, Aging"
cell senescence,senescence aging,NCT06524388,Adaptive Cognitive Training on Cognitive Function in Elderly Diabetes Patients in the Community,ENROLLING_BY_INVITATION,,"Objective A growing body of evidence supports diabetes as a risk factor for cognitive decline. Diabetes is significantly associated with accelerated cognitive decline, poorer cognitive function, and mild cognitive impairment and dementia. Cognitive training is an effective intervention to improve cognitive function. However, the current cognitive training does not fully consider the different areas and degrees of cognitive function impairment of older adults. This study aims to evaluate the effect of adaptive cognitive training on cognitive function of older adults with hypertension in the community.

Participants Age 60 years or older, diagnosis of diabetes, fasting blood glucose≥6.1mmol/L and cognitive function assessment showed no dementia.

Design The study was designed as a double-blind randomized controlled trial. 120 diabetes participants without dementia aged 60 years or older in Shijingshan, Beijing and Haidian, Beijing were included. Participants will be randomized to adaptive cognitive training (intervention group) and placebo cognitive training (control group) at a ratio of 1:1. Both training will be delivered by using PADs with the same appearance. The interventions will last for 6 months and follow up to 12 months, and both groups will be followed up on the same time schedules for all outcome measurements. The primary outcome is changes in MoCA scores from baseline to post-intervention, 6 months. The current trial has been reviewed by the Ethics Committee of Plastic Surgery Hospital, Chinese Academy of Medical Sciences \& Peking Union Medical College (approval number: 2024-162).","Cognition, Diabetes Mellitus, Type 2, Aging"
cell senescence,senescence aging,NCT05107817,Aquatic Exercise and Reactive Balance,NOT_YET_RECRUITING,,"The present clinical trial aims to identify if skills acquired during aquatic exercise are more effectively transferred to a reactive balance task than land exercise. This study is designed as a double-blinded, randomized controlled clinical trial. Forty-four older adults aged 60 years or above who meet the eligibility criteria will be recruited and randomized into an aquatic exercise group or land exercise group. Each group will participate in the same balance training exercise during a single session that includes a ball throwing and catching task. A modified lean-and-release test will be implemented on land immediately before, after, and one week after the training session. The outcomes will include reaction time, rapid response accuracy, and mini-BESTest scores obtained from stepping and grasping reactions.","Aging, Aged, Accidental Falls, Postural Balance, Exercise, Exercise Therapy"
cell senescence,senescence aging,NCT06565169,Improving PCP Advance Care Planning for People With ADRD,RECRUITING,,"This study will test the Dementia Advance Care Planning (AD ACP) Toolkit intervention to usual care in facilitating goals of care (GOC) discussions between People Living with Dementia (PLwD) and primary care team members over an 18-month period. The primary outcome is to assess the frequency and quality of GOC discussions with PLwD. Secondary outcomes include the identification of preferred surrogates, assessment of decisional capacity, and the completion of portable ACP orders. This randomized clinical trial aims to determine if the AD ACP Toolkit can enhance ACP practices and improve care planning outcomes for PLwD compared to the standard care approach.","Alzheimer Disease, Dementia, Alzheimer's Disease (Incl Subtypes), Aging"
cell senescence,senescence aging,NCT05749913,Cognitive Load of Activity Participation Scale (CLAP): Development and Validation,TERMINATED,,"In this study, we develop and validate the "" Cognitive Load of Activity Participation Scale"" (CLAPs) to measure the frequency and the perceived levels of cognitive load of the elderly participating in various cognitive activities and as a reference for intervention and behavioral Indicators for lifestyle modifications to preventing and delaying dementia.",Aging
cell senescence,senescence aging,NCT05008159,"A Community-based Program That Supports Physical Activity, Healthy Eating, Social Participation and System Navigation in Older Adults",RECRUITING,,"Physical mobility and social participation are needed to maintain independence and quality of life for adults over 55 years of age. Despite the known benefits of physical activity and dietary change programs for older adults, the best ways to deliver these interventions are not well understood. The goal of the EMBOLDEN study is to promote physical and community mobility in older adults who experience difficulties taking up community programs and reside in areas of high health inequity. Building on existing best practices, the investigators will implement and evaluate an innovative co-designed community-based program to promote physical activity, healthy eating, social participation, and system navigation. The potential for spreading this program throughout Hamilton and adapted to other Canadian communities will also be explored","Mobility Limitation, Health Related Quality of Life, Healthy Aging, Health Inequity"
cell senescence,senescence aging,NCT06512922,Adaptive Cognitive Training on Cognitive Function in Elderly Hypertension Patients in the Community,ENROLLING_BY_INVITATION,,"Objective A growing body of evidence supports hypertension as a risk factor for cognitive decline. Hypertension is significantly associated with accelerated cognitive decline, poorer cognitive function, and mild cognitive impairment and dementia. Cognitive training is an effective intervention to improve cognitive function. However, the current cognitive training does not fully consider the different areas and degrees of cognitive function impairmentof older adults. This study aims to evaluate the effect of adaptive cognitive training on cognitive function of older adults with hypertension in the community.

Participants aged 60 years or older, diagnosis of hypertension, and cognitive function assessment showed no dementia.

Design The study was designed as a double-blind randomized controlled trial. 120 hypertension participants without dementia aged 60 years or older in Shijingshan and Haidian, Beijing were included. Participants will be randomized to adaptive cognitive training (intervention group) and placebo cognitive training (control group) at a ratio of 1:1. Both training will be delivered by using PADs with the same appearance. The interventions will last for 12 weeks and follow up to 24 weeks, and both groups will be followed up on the same time schedules for all outcome measurements. The primary outcome is changes in MoCA scores from baseline to the end of the 12-week intervention.

The current trial has been reviewed by the Ethics Committee of Plastic Surgery Hospital, Chinese Academy of Medical Sciences \& Peking Union Medical College (approval number: 2024-162).","Hypertension, Condition, Aging"
cell senescence,senescence aging,NCT04900272,Intelligent Personal Assistant for Managing Depression in Homebound Older Adults,COMPLETED,,"The purpose of this study is to design a companion booklet and pilot test it with a voice-controlled intelligent personal assistants (VIPA), like Google Home or Amazon Alexa, to provide homebound older adult patients with skills and tools to help manage social isolation.","Aging, Physical Dependence"
cell senescence,senescence aging,NCT06887075,Systemic Activation of Inflammasomes and Frailty in Older Candidates to Kidney Transplantation,NOT_YET_RECRUITING,,"Kidney transplantation (KT) benefit-risk ratio assessment is a challenge in a growing population of older patients with end-stage kidney disease. A pre-KT frailty phenotype has been found predictive of post-KT complications, but biological mechanisms of frailty are poorly known is these patients. Frailty is associated with chronic low-grade inflammation in the older general population, possibly through the inflammasome pathway. Our main objective is to assess if systemic activation of inflammasomes is associated with frailty in older candidates to KT.","Chronic Kidney Failure, Frailty, Aging, Inflammation"
cell senescence,senescence aging,NCT06117319,Immersive Technology and Virtual Reality as a Health Support Tool in a Residence for the Elderly,COMPLETED,,"The purpose of this clinical trial is to learn more about the potential for using virtual reality in older adults living in residences for elderly to maintain health (physical activity, cognitive activity, social behaviors). The main questions it aims to answer are:

* To what extent can virtual reality be a tool to support health in older adults?
* What are the support needs of older adults in learning to use this immersive technology?

Participants are invited to complete 5 weekly training sessions on the use of a virtual reality headset. At the beginning and end of each session, participants will complete a questionnaire on their perception of their experience. During the sessions, the participants are asked to test games that mobilize the upper limbs. Two learning modalities are set up in two separate groups. These modalities aim to test two different support formulas in order to compare the support needs of the elderly in the use and integration of virtual reality to support the activities and health of this population.",Aging Well
cell senescence,senescence aging,NCT03551483,ArtontheBrain: An Inclusive Evidence-based Cognitive Health App for Older Adults to Promote Aging at Home,UNKNOWN,,"The research proposed here will evaluate whether a web-based recreation intervention, called ArtontheBrain, has positive health benefits to older adult users. ArtontheBrain incorporates three basic activities; learning (history of the artwork), play (telling stories, solving puzzles) and socializing with other users, either in person or online. It can be used alone, with another person, or in a group. It is modeled after participatory arts-based interventions which studies have shown are associated with health benefits in older adults, such as improved sense of well-being, physical health, decreased risk of dementia, and reduced need for health services. Our study will test ArtontheBrain at research sites and health agencies in Canada, the U.S., and the U.K. with older adults with and without cognitive decline. The study will also examine how well that app can support different user play modalities and whether it can effect positive health outcomes similar to face-to-face arts interventions.","Cognitive Impairment, Mild Cognitive Impairment, Dementia, Age-related Cognitive Decline, Aging"
cell senescence,senescence aging,NCT03949647,Collection of Bone Marrow Aspirate From Normal Volunteers,RECRUITING,,"Background:

Bone marrow is the soft material found inside most large bones of the body. Bone marrow produces red blood cells, white blood cells, and platelets that are released into the blood stream. Inside the marrow, these cells start off as young, immature cells called progenitor cells. Researchers want to study these cells in healthy people.

Objective:

To understand how progenitor cells change with age.

Eligibility:

Healthy people ages 18 and older

Design:

Participants will be screened with a questionnaire, a physical exam, and blood tests.

Participants will have a bone marrow aspirate. They will be asked to lie on their stomach or side. A local anesthetic will be injected with a small needle under the skin at the site. A needle will then be placed through the skin and into the hip bone. A small amount of the liquid part of the bone marrow will be taken up into the needle. After the needle is removed, a pressure bandage will be placed on the site.

Participants will be asked to become a repeat volunteer and have a bone marrow aspirate sample collected once every other year. They will have a physical exam and blood tests before each collection.

The cells from the collection will be used for genetic testing and research.

Participants will be in the study for as long as they remain healthy and willing to participate.",Normal Aging
cell senescence,senescence aging,NCT02346136,Health Outcomes of Tai Chi in Subsidized Senior Housing,TERMINATED,,"The proposed study will determine whether Tai Chi is an effective and practical intervention to improve overall function and lower health care utilization in an expensive, vulnerable population of seniors that is more representative of many US communities than those previously studied. If the results are favorable, our study will also provide the necessary training and protocol manuals to replicate Tai Chi programs in senior housing facilities across the nation to help prevent, better manage, and overcome frailty among seniors.",Aging
cell senescence,senescence aging,NCT05619107,Boosting Exercise cApaCity With autOnomic Neuromodulation,COMPLETED,,"Background: Exercise performance is a key predictor for healthy ageing. Laboratory and clinical data have shown strength of a nerve called the vagus nerve, which is lost during age-related disease processes, determines exercise performance. The investigators describe a study protocol designed to test the hypothesis that stimulation of the ear (where the vagus nerve can be safely stimulated) may improve exercise performance alongside beneficial changes in vagus nerve activity in human volunteers.

Methods. 28 healthy participants aged 18-75y will be randomly allocated to electrical ear stimulation or placebo treatment for 30 minutes at the same time of day, for 7 consecutive days. Heart monitoring, exercise bike testing, a simple sit-to-stand test and blood sampling will be performed immediately before the first day's intervention and after the last day's intervention. Participants and investigators will be masked to the treatment allocations and analyses. After a 14-day break, participants will perform the same protocol for the opposite intervention to their first treatment allocation. The primary outcome will be the change in VO2Peak (the best measure of exercise performance) following stimulation or placebo protocol. Secondary outcomes include reduction in heart rate after ending the exercise bike test, reduction from peak heart rate after standing from sitting, beat-to-beat heart rate measures and blood inflammatory marker levels. These outcomes will measure exercise performance and vagus nerve function. Safety and complications of the intervention will also be recorded. The study was approved by the NHS Research Ethics Committee (21/LO/0856).

Discussion. This 'first-in-man' study will explore whether non-invasive vagus nerve stimulation safely boosts exercise performance and/or vagus nerve activity using electrical ear stimulation, providing data for a device-based approach that may be broadly generalisable to improving health outcomes.","Aging, Inflammation, Cardiovascular Diseases"
cell senescence,senescence aging,NCT02918981,Nutritional Strategies to Augment the Postprandial Muscle Protein Synthetic Response to the Ingestion of a Low Dose of Protein in Middle-aged Women,COMPLETED,,"Using stable isotope methodology, investigators will determine the postabsorptive and postprandial muscle protein synthetic response in 60 female adults (Age 50-79, BMI: \<30 kg/m2) immediately after an acute bout of resistance exercise. Participants will be divided in to 5 groups of twelve women (n=12). Each group will receive a different protein beverage or placebo to consume following the resistance exercise training. Group 1 will consume a beverage consisting of whey protein; group 2 will consume whey protein supplemented with additional leucine; group 3 will consume whey protein supplemented with additional leucine and hydrolyzed whey peptides; group 4 will consume whey protein supplemented with additional leucine and citrulline; group 5 will just consume water. During the testing, blood and muscle samples will be collected.",Aging
cell senescence,senescence aging,NCT03474302,Program for African American Cognition & Exercise,COMPLETED,,"The study is designed to develop and evaluate a physical activity promotion program among elderly African Americans with a long-term goal of reducing risk of Alzheimer's disease. The motivation for this study is that previous exercise interventions have improved cognitive function in older adults with and without cognitive impairments, but these studies were largely conducted without substantial African American representation. Due to genetic and environmental differences between African American and other populations, it is unclear whether positive findings from previous interventions will translate to African American individuals. Investigators hypothesize that a community-based physical activity intervention will a) be tailored to African American adults, b) increase daily amounts of physical activity, and c) improve cognitive function in sedentary older African American adults.",Aging
cell senescence,senescence aging,NCT00605072,"The Antihypertensives and Vascular, Endothelial and Cognitive Function Trial",COMPLETED,PHASE2,"The purpose of this study is to examine the effects of blood pressure medications on cognition and blood flow in hypertensive elderly patients with cognitive impairment. The hypothesis is that treatment with an angiotensin receptor blocker (ARB) or an angiotensin-converting enzyme inhibitor (ACEI) will be associated with a slower rate of further cognitive decline, improved cerebral blood flow and its regulation, and preserved physical function as compared to treatment with a diuretic (HCTZ), independent of blood pressure level.","Cognitive Impairment, Hypertension, Aging"
cell senescence,senescence aging,NCT04734951,Muscle Quality Index Improvement by Exercise and HMB Oral Supplementation in Older Adults,UNKNOWN,,"The aging process is accompanied by a decrease in several biological and physical functions, which have an impact on the perception of well-being and quality of life. Among these, the decrease in muscle mass, strength and power are of particular importance as they are associated with poor cardiorespiratory function, functional limitations and mortality. The muscle quality index (MQI) is considered a key determinant of muscle function in adulthood. The main treatment to preserve muscle mass has been strength exercise and in some cases the use of aids that influence protein metabolism such as beta-hydroxy-beta-methyl butyrate (HMB), but the evidence on this topic is not consistent and is inconclusive. Therefore, the main purpose of this study is to investigate if the combination of a power/resistance exercise program and oral supplementation with HMB can improve the quality mass index in adults aged compared with those received a single exercise program after 14 weeks of intervention.",Aging Well
cell senescence,senescence aging,NCT00038363,Comparison of Subacute and Hospital Based Rehabilitation Care,COMPLETED,PHASE2,"The proposed study objective is to compare hospital-based rehabilitative care with transitional subacute rehabilitation for adults recently diagnosed with a disabling disorder. Clinical outcomes, cost and utilization of services will be compared in order to test the hypotheses that medically-stable patients receiving rehabilitation from subacute care facilities will: 1) function as well physically, 2) report less family dysfunction, 3) have better psychological adjustment and well-being than controls who receive only hospital-based inpatient care, and 4) receive services at lower cost. We intend to assess the impact of hospital-based versus subacute care on clinical and cost outcomes at admission, discharge \[3 months post-admission\] and at 12 months. The first set of analyses will determine predictors of physical function, family function, psychological adjustment and well-being over a 1 year period.",Aging
cell senescence,senescence aging,NCT02516189,Strength Training for Elderlies and Their Effects on Muscle Fatigue and Microcirculation - Randomized Clinical Trial,COMPLETED,,"The purpose of this study is to verify the effects of a strength training program on functional capacity, muscle performance and microcirculation in the elderly.",Aging
cell senescence,senescence aging,NCT04828018,Care of the Ageing Veteran Population: Developing an Evidence Base for the Royal Hospital Chelsea Model of Care,COMPLETED,,"Royal Hospital Chelsea (RHC) has provided a sheltered housing environment alongside integrated health and social care and comradeship for British Army veterans since 1692, following a decree by King Charles II to aid the ""relief of veterans broken by age and war"" (RHC, 2018). Today approximately 300 In-Pensioners, known globally as 'Chelsea Pensioners' live at RHC. They also have access to an on-site infirmary providing nursing or personal care for up to 68 people (CQC, 2019).

RHC is in central London (UK) and comprises of several historical buildings, protected by the organisations Mission Statement to ""…safeguard their historic home for the veterans of tomorrow"". In-Pensioner's must have served in the British Army as a non-commissioned officer (or have served at least 12 years 'in the ranks' prior to becoming a commissioned officer), be aged 65 or over, be free of any financial obligations to dependents, and at the time of admission be able to live independently. Traditionally a male-only residence, RHC welcomed its first female Army veteran in 2009.

There is an absence of evidence to support the impact of care delivery and the Chelsea Pensioner experience, with the only evidence being RHC Annual and Care Quality Commission (CQC) reports which focus on strategic and operational matters rather than the impact of the wider social care or environment.

This lack of evidence presents a unique opportunity to evaluate RHC's current service provision, inform future direction and address the hiatus in evidence-based research to quantify the impact of its model of care.","Quality of Life, Aging Well"
cell senescence,senescence aging,NCT05249868,Impact of the COVID-19 Pandemic on the Health Status of People Aged 75 and Over and Their Caregivers,COMPLETED,,"The measures to control the transmissibility of the Covid-19 pandemic have changed the daily routines of the population, increasing sedentary lifestyles, decreasing outdoor physical activity and limiting contact with neighbors, family and friends. This could be having negative consequences for the health of vulnerable people.

The investigators want to know how this situation has affected the health of people aged 75 years or older and their caregivers and how the circumstances experienced may mark new care needs.

To this end, will be analyzed clinical data, follow up people who have become ill with COVID-19 and those who have not, and interview groups of caregivers and patients to hear about the personal impact of the pandemic on them.

This will allow us to explore what changes are needed in health care to achieve an improvement in the health and quality of life of this population.

CUIDAMOS+75 seeks the commitment of the population and of the different people in charge of the health services from the very beginning.","Aging, SARS-CoV-2 Infection, Caregivers, Frailty, Burden, Caregiver"
cell senescence,senescence aging,NCT07115888,Reliability and Validity Assessment of the Health-Related Quality of Life Scale Developed for Active Older Adults,COMPLETED,,"INTRODUCTION You are invited to take part in this academic study because you are 65 years or older and live independently in the community.

Before participating, please read the following information carefully to understand the study's procedures. After reading, if you agree to join, you will be asked to complete some questionnaires and simple mobility tests.

BACKGROUND Programs that promote health, physical activity, social interaction, and mental stimulation are becoming more important for older adults. However, there is no clear way to measure their effectiveness.

Researchers from McGill, Exeter, Erasmus, and UT Health San Antonio universities are working together to better understand active aging. In earlier studies, over 200 people were interviewed to learn how older adults perceive active living. This study now aims to examine the physical and psychological functions associated with active living.

PURPOSE OF THE STUDY This project aims to test the reliability of the HRQL-OPAL scale and assess the level of physical and psychological function related to active aging.

STUDY PROCEDURES This research is conducted under the Department of Physiotherapy and Rehabilitation, Marmara University.

If you agree to participate:

You will first complete questionnaires (approx. 20 minutes).

Then, you will perform mobility tests (approx. 20 minutes) such as walking and changing positions. A small sensor will be placed on your shoe to measure your steps and movements.

You will not be asked to do anything unsafe or difficult, like jumping or standing on one leg.

If you agree, you may be asked to complete the HRQL-OPAL scale again two weeks later.

DURATION Total time for the first session is about 40 minutes. A second session, if agreed, will take about 20 minutes after two weeks.

BENEFITS You may not receive direct personal benefit, but the results may help improve scientific knowledge and support better ways to measure quality of life in older adults.

RISKS There are no known risks. Some questions may be sensitive, but you do not have to answer any that make you uncomfortable. All tests are widely used and supervised by trained professionals.

VOLUNTARY PARTICIPATION AND WITHDRAWAL Your participation is voluntary. You may withdraw at any time without providing a reason and without any impact on your medical care.

CONFIDENTIALITY All collected data will be coded and stored securely without using your name. Only the research team will access this information.

Results may be shared in scientific reports, but your identity will remain confidential. Data will be stored for seven years by the lead researcher.

ETHICAL REVIEW This study has been reviewed and approved by the Ethics Committee of Marmara University Faculty of Medicine.

STUDY TITLE ""Reliability and Validity Study of the Health-Related Quality of Life Scale Developed for Active Older Adults""

NUMBER OF PARTICIPANTS At least 92 participants who meet the criteria are required for the study.

PARTICIPANT STATEMENT I, the undersigned, confirm that I have received detailed information about this study from Physiotherapist Muhammed Furkan ORUÇ, and I have been invited to participate as a volunteer.

I understand that all personal information will remain confidential, and the study will not affect my medical care. I am aware that I can withdraw at any time.

If any health problems occur during the study, I can contact Fzt. Muhammed Furkan ORUÇ at 0534 421 52 94 or reach the institution at Küçük Çamlıca Mah. Çilehane Yolu Cad. No:51, 34696, Üsküdar/İstanbul, Prof. Dr. Fahrettin Kerim-Nilüfer Gökay Nursing Home Elderly Care and Rehabilitation Center.

I voluntarily agree to participate in this research and will receive a signed copy of this form.",Active Aging Individuals Aged 65 and Over
cell senescence,senescence aging,NCT06235294,Effects of Resveratrol Supplementation on Oocyte Quality,NOT_YET_RECRUITING,,"The goal of this randomized, double-blind, placebo-controlled clinical trial is to verify if 3-month oral supplementation with resveratrol can enhance the oocyte quality in advanced maternal age women undergoing in vitro fertilization (IVF).

Participants will take a daily capsule of resveratrol or placebo during the 3 months preceding their IVF treatment. They will then follow the same treatment protocol as non-participant patients.","Aging, Infertility"
cell senescence,senescence aging,NCT04368754,Validity and Reliability the Turkish Version of the Oxford Participation and Activities Questionnaire in Older People,COMPLETED,,"To evaluate the validity and reliability of Turkish version of the Oxford Participation and Activities Questionnaire (Ox-PAQ) for Turkish older population. Following the translation protocol of the Ox-PAQ, Short Form-12, Katz Index of Independence in Activities of Daily Living Scale, The Five Times Sit to Stand Test were administered to 230 older people. End of this study, occupational therapists, physiotherapists can use the it to assess activity and participation level of older people living in community",Healthy Aging
cell senescence,senescence aging,NCT03515395,Entertainement and Training After a Hip Fracture,WITHDRAWN,,"Older persons are at riskt for falls and fractures. After hip surgery they are normally treated with physical or occupational therapy. The additional use of computer based exercise games for training and the acceptance of such a technology are unclear. Thus, we plant to assess the above outcome ins an observational pilot study.","Hip Fractures, Exercise, Aging"
cell senescence,senescence aging,NCT03667573,Spinal Excitation to Enhance Mobility,COMPLETED,PHASE1,"Older adults with compromised walking ability have higher rates of morbidity and mortality, more hospitalizations, poorer quality of life, and are less likely to remain independent in the community. It is known that age-related changes in brain and peripheral nerves contribute to loss of walking ability. However, there is a lack of research into how the aging spinal cord affects walking. In older adults, the spinal cord is less excitable, conducts signals more slowly, and is subject to neural noise. Intervening on age-related impairment of the spinal cord to improve walking ability is a very promising but untapped area of research.",Aging
cell senescence,senescence aging,NCT03514537,Autologous Stem/Stromal Cellular Stromal Vascular Fraction (cSVF) In Frailty-Aging Processes,SUSPENDED,,"With increasing age and health issues associated with aging, many systemic cellular and structural changes are known to occur. The intent of this trial is to determine the safety and efficacy of delivery of autologous cellular stromal vascular fraction (cSVF) to improve the quality of life and functional health.

Isolation and concentration of cSVF will be documented.

To acquire autologous cSVF, a 10+ teaspoon volume of subdermal adipose (fat) tissue and stroma is removed from the trunk or upper thigh area. Using a closed system with enzymatic digestion to isolate and concentrate these cells, is followed with returning these cSVF elements only via 500 cc Normal Saline delivered via peripheral vein (IV).

Documentation of cellular numbers and flow cytometer viability testing is to be correlated with clinical outcomes as reported by patients and standardized Quality of Life (QoL) form tracking","Frail Elderly Syndrome, Aging, Degenerative Disease"
cell senescence,senescence aging,NCT05101174,Exercise and Neurocognition in Adults Relative to ApoE Genotype,UNKNOWN,,"The current project is a single-blinded, double-arm, 6-month randomized controlled trial aiming to assess the effects of a integrated intervention program on neurocognitive function with respect to event-related potential in adults aged 45-70 years. Additionally, the potential impacts of apolipoprotein epsilon-4 alleles and the brain-derived neurotrophic factor will be explored.","Exercise Training, Neurocognitive Function, Aging"
cell senescence,senescence aging,NCT06029920,"Influence of Overground Walking on Biomarkers, Cognitive Function, and Quality of Life in Elderly With Mild Cognitive Impairment",COMPLETED,,"The purpose of this research is to investigate the impact of overground walking as a part of a rehabilitation program on the increase in Brain-derived neurotrophic factor (BDNF) levels, decrease in IL-6 levels, decrease in hs-CRP levels, improvement in cognitive function, and enhancement of quality of life (QOL) in older people with mild cognitive impairment. These findings are anticipated to contribute to the efforts to elevate BDNF levels, cognitive function, and QOL while reducing IL-6 and hsCRP levels in the elderly with mild cognitive impairment.","Cognitive Impairment, Aging"
cell senescence,senescence aging,NCT06395376,Adaptive Stress Response: The Hot Yoga Study,COMPLETED,,"This is a small intervention study which is aimed at characterizing what is known as the adaptive stress response (also know as ""hormesis"") in women aged 30-45 years. Participants will perform Bikram Yoga in a room heated to 104°F (40°C) which is often referred to as ""Hot Yoga"".

The hypothesis of this study is that a protective and health-promoting adaptive stress response can be induced in living humans by performing exercise in a hot environment. The primary question is:How does the body physiologically adapt to performing moderately vigorous exercise in a hot environment?","Inflammation, Aging, Depression, Anxiety"
